c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
325,Customer#000000325,Z I43vl3ta3iYmjXNaSM d6Pe24ibjhdvPSi,15,25-823-702-9630,2377.34,HOUSEHOLD ,nal foxes alongside of the always bold
326,Customer#000000326,nWDOTh6X019pfBtV3ikACYZiMjGykLrFnuyAo2,2,12-447-614-7494,1906.52,HOUSEHOLD ,ckey players. carefully ironic a
327,Customer#000000327,UyKulwfNnX4l4ba1vQtwCWw8WNP50U8DCU,8,18-606-718-3062,8762.16,MACHINERY , unusual braids. daringly final ideas are quickly c
328,Customer#000000328,9pu j2HoEf1uhiY3jxE9l9fCRfjoVU,5,15-817-180-1487,6709.90,BUILDING  ,y about the daring accounts. furiously thin escapades integrate furiously against the furiously ironi
329,Customer#000000329,67r6XnIxUVgAc3pRX8tmGOw,11,21-106-357-8302,-651.91,BUILDING  ,ans. fluffily unusual instructions haggle about the slyly ironic platelets. never regular pinto beans sleep fl
330,Customer#000000330,UfNb7T9CTCnsfN3b,20,30-476-852-2371,8244.73,MACHINERY ,en pinto beans. quickly final excuses haggle furiously. slyly pendin
331,Customer#000000331,"Ug e2IBbl,LJuqjNz5XeQV",5,15-411-430-7917,170.27,AUTOMOBILE,r the silent ideas. carefully ironic deposits was carefully above the furiously even excuses. evenly regu
332,Customer#000000332,"Jfosq,G6ziag7M04IvCx7SMRafyYvSI,Do",22,32-767-972-2596,-267.09,HOUSEHOLD , around the pinto beans. final theodolites haggle
333,Customer#000000333,"heiloGYs Yey7NKhEFoiNhUBb,QFbjtn5wt",11,21-908-534-7709,8018.89,AUTOMOBILE,uriously close theodolites! slyly express foxes cajole-- final pinto beans boost blithely along the ironic
334,Customer#000000334,OPN1N7t4aQ23TnCpc,4,14-947-291-5002,-405.91,BUILDING  ,"fully busily special ideas. carefully final excuses lose slyly carefully express accounts. even, ironic platelets ar"
335,Customer#000000335,d2JCYLr2F9tC1AZMIvbIYPDQA,21,31-772-165-3138,6837.46,HOUSEHOLD , requests haggle carefully about the quickly special escapades. regular a
336,Customer#000000336,yC zy1i6AGrnykrV McJyjg,2,12-345-190-9898,9241.49,AUTOMOBILE,es. dependencies lose carefully blithely regular deposits. t
337,Customer#000000337,EluRTlO4pE7u0XSKKyvKvVyt4sADWFRLZuiyn,0,10-337-165-1106,-270.59,MACHINERY ,ld requests sleep quickly. carefully express tithes wake carefully ac
338,Customer#000000338, aiYAeWgI0okGSJv7OgvKqMvPLhxF3blT8josX,23,33-302-620-7535,4092.49,FURNITURE ,ckages nag blithely regular requests: carefully final packages between the slyly regular instructions sleep 
339,Customer#000000339,jUs1Im28boIduGhp5vbKK50gM5ov7xH9G,24,34-992-529-2023,8438.07,HOUSEHOLD ,"ix. ironic, special tithes detect dog"
340,Customer#000000340,WRnPrKQmAmoMQgHQERoVOhyTklcHMajJlc,2,12-730-681-4571,4667.12,BUILDING  ,"es sleep according to the even, unusual Tiresias. carefully bold packages haggle. furiously pending s"
341,Customer#000000341,"4,zQfld2YV9TSeNgCSOvqlxhJvVW8WD",9,19-870-813-8585,8247.11,FURNITURE ,"low, special platelets alongside of the even, bold theodolites are carefully "
342,Customer#000000342,SpDDdUfraEAfCULAuGLE,18,28-690-119-9571,7186.74,AUTOMOBILE,luffily final ideas. finally unusual requests boost slyly above the furio
343,Customer#000000343,ejvvSNHIkJVm8I1zpQINNn5yyJbA,3,13-877-910-5134,5521.36,HOUSEHOLD , unusual requests cajole blithely about the carefully express ideas. blithely even excuses above the pint
344,Customer#000000344,"Zasc8,E0VVY",2,12-810-788-6699,-544.95,FURNITURE ,le according to the regular instruction
345,Customer#000000345,"dGFK ICPKxnsAzlX4UYOUf,n200yyEWhIeG",9,19-209-576-4513,1936.77,AUTOMOBILE,en pinto beans nag along the slyly regular deposits. slyly ir
346,Customer#000000346,"K61SvIue3Emcwfel,7f9tO5WyJ58MbT7k3iS",2,12-100-890-4659,238.14,FURNITURE ,ickly even pinto beans affix across the bravel
347,Customer#000000347,qRT7WRrnykLDfTc5Ei,1,11-519-832-9913,7348.92,BUILDING  ,ts use blithely blithely regular theodolites. even requests after the
348,Customer#000000348,ciP7BWkhOe1IbbVGlqJePBI6ZwqENkS,13,23-986-141-5327,3310.49,HOUSEHOLD ,al foxes are on the carefully final excuses. careful dependen
349,Customer#000000349,"vjJBjxjW9uoRZP02nS p6XY5wU6Ic,6xHpxUKA",23,33-818-229-3473,-565.35,BUILDING  ,"y. bold, ironic instructions after the theodolites sleep blithely ironic packages. ideas c"
350,Customer#000000350,G vBMGVmIOHl7tc4HeNMiMkKY,15,25-960-809-3690,19.31,BUILDING  ,tions. quietly unusual accounts sleep blithely afte
351,Customer#000000351,De35Hx1QiyS0uy,7,17-873-420-4342,3419.54,AUTOMOBILE,telets haggle blithely against the ironic
352,Customer#000000352,HqhIE5GRTK0dFtWpJUQENU4aa1bwdsUBEWtzUw,9,19-906-158-8420,6257.88,HOUSEHOLD ,ts are. blithely special requests wake. furiously bold packages among the blithely eve
353,Customer#000000353,eftGCmL4b5rAKdvUe9biJXzAH,10,20-733-644-2244,3199.03,BUILDING  ,nal theodolites nag carefully. requests wake. slyly ironic ideas according to the blithely pe
354,Customer#000000354,sV3WgvJA06WngO4,2,12-545-101-2447,7095.95,BUILDING  ,". regular, final requests cajole fluffily. express attainments wake slyly until the even acco"
355,Customer#000000355,205r3Xg9ZWjPZNX1z,14,24-656-787-6091,8727.90,FURNITURE ,ly bold requests detect furiously. unusual instructions sleep aft
356,Customer#000000356,9RfNXUJivKTonL2bp1eG5IT,10,20-415-457-4421,2934.06,FURNITURE ,al packages haggle always. daringly bold inst
357,Customer#000000357,l2C0Xkdib4t4 qKFUcRDOhRQMK7U0,18,28-452-965-8560,8747.36,AUTOMOBILE,ress platelets cajole fluffily final accounts: slyly ironic foxes s
358,Customer#000000358,F  z jplpUKWz1Hn7p3ez2qTsiIh,5,15-457-255-3822,-44.66,MACHINERY ,e furiously pending requests. slyly bold requests wake deposits. furiously express
359,Customer#000000359,z4lUH9ssc3K2w0UjRIuNRrdqw,14,24-608-547-4751,6375.23,FURNITURE ,ifts wake fluffily ironic ideas. slyly ironic deposits above the 
360,Customer#000000360,"S,6ajyDFO3WUQ0Qr",17,27-604-646-1645,6542.83,FURNITURE ,engage. quickly final platelets about the fluffily unusual accounts wake 
361,Customer#000000361,l0F8jMJVe63cb,20,30-164-267-4590,7451.84,BUILDING  ,fully busy ideas. regular foxes cajole 
362,Customer#000000362,UscV00TNrNTDddxF7BTk,17,27-651-653-4122,6149.01,AUTOMOBILE,ut the fluffily ironic platelets. ironi
363,Customer#000000363,2Koh mYARhsVcFn0U2Abt35qIyedAr1TxP,17,27-460-529-3937,-573.86,HOUSEHOLD ,s. carefully unusual deposits are foxes. furiously even foxes nag carefully according to the furiously express 
364,Customer#000000364,"SQ3b5Q5OtrmmZjJ87tq,o1TiXKVJQ0M7ZOuud",23,33-492-647-4972,32.24,HOUSEHOLD , dependencies? pending requests use carefull
365,Customer#000000365,QiZRz y1xU,24,34-708-696-5226,737.03,HOUSEHOLD ,counts. unusual packages are blithely foxes. unusual dinos
366,Customer#000000366,pPQektSfn55AC7s9SRFkj07I2yXqakvCa,3,13-915-531-6826,-729.74,MACHINERY ,"nos wake quickly. regular, regula"
1899,Customer#000001899,"XuQb0moba ,XyN",10,20-243-672-4974,2869.40,MACHINERY ," even, idle deposits about the busily final foxes"
367,Customer#000000367,yZaDoEZCqt2VMTVKoZUkf6gJ4yj,13,23-939-319-4691,9108.65,HOUSEHOLD ,"eodolites under the ironic, stealthy requests affix furiously among the unusual tit"
368,Customer#000000368,9p ReFA4fseKWYUaUHi,22,32-552-596-4994,84.72,MACHINERY ,ic asymptotes. quickly special packages along the bravely bold depos
369,Customer#000000369,"ge1XhgI3ADIkvLr5GPMqpup,hzlTVv",8,18-333-644-9832,2881.06,FURNITURE , theodolites? quickly quick foxes are fluffily slyly regular instructions. fluffily
370,Customer#000000370,oyAPndV IN,12,22-524-280-8721,8982.79,FURNITURE ,ges. final packages haggle quickly. slyly bold 
371,Customer#000000371,dnxjCYwhuSHx 9KX38nV0R16fG,22,32-119-346-2028,7789.14,AUTOMOBILE,"equests shall boost furiously special pinto beans. express, ironic ideas sleep across the ironi"
372,Customer#000000372,aKPMNZfbgV0neVIBo,19,29-226-339-6392,-921.91,MACHINERY ,. furiously even foxes sleep at the forges. bold accounts sleep after the ironic theodolites. ironi
373,Customer#000000373,"2hrQ wHkbaNlJCzY,mVkugMIE 8ryNlaA3JHDTjJ",20,30-883-170-4010,2354.06,MACHINERY ,requests wake blithely even packages. slyly ironic deposits haggle blithely 
374,Customer#000000374,"fg4eklU1,UaFOan",22,32-282-723-3627,6718.78,AUTOMOBILE,ges are carefully. slyly ironic deposits about the fin
375,Customer#000000375,e53JADEeGvM1ikhN7aa,15,25-575-273-9756,5562.22,HOUSEHOLD ,st the pending accounts. final courts above the pending pinto beans use furiously ironic requests. dolphins 
376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly 
377,Customer#000000377,"PA4levhyD,Rvr0JHQ4QNOqJ9gW YXE",23,33-260-610-4079,1043.72,MACHINERY ,. slyly regular ideas cajole blithely. slyly ironic foxes are carefully after the thinly special accou
378,Customer#000000378,"133stqM9 LT,a2BSlbm49 nXreFggaZgW6P6J",22,32-147-793-4825,5718.05,BUILDING  ,ackages haggle fluffily ironic packages.
379,Customer#000000379,"t3QzCf,q1NbshmjOIUY",7,17-228-550-9246,5348.11,AUTOMOBILE,"l deposits cajole blithely blithely final deposits. express, even foxes grow carefully about the sile"
380,Customer#000000380,n2w3Jd1bipwICbOVgrELzcNRexmWSklo,21,31-538-493-4229,2755.46,BUILDING  ,riously special accounts. slyly final accounts sleep; blithely special requests integrate carefully slyly en
381,Customer#000000381,w3zVseYDbjBbzLld,5,15-860-208-7093,9931.71,BUILDING  ,"t regular, bold accounts. carefully quick packages haggle. care"
382,Customer#000000382,"UdgAMamK5JnSykA,ZPfR5W5zRFatDUye",8,18-942-650-6657,6269.42,AUTOMOBILE,. blithely express notornis according to the blithely even requests are never fina
383,Customer#000000383,iBIHYgXvVDpu6qq7FlqXVcAIDAzv4qs,2,12-868-920-9034,-849.44,MACHINERY ,slyly express ideas haggle blithely unusual dugouts. ironic pinto beans are ironic ideas.
384,Customer#000000384,kDDMb3ML nUSu2Sn7CUHyZVedAFUx9,9,19-271-453-8361,-614.30,HOUSEHOLD ,"olites. express, unusual dolphins cajole carefully about the "
385,Customer#000000385,zJvPI24TSPpiFzYfu3RvTKQ9,3,13-741-675-6890,2457.09,AUTOMOBILE,rs. blithely ironic deposits nag furiously across the furiously ironic accounts. bold deposits sleep express
386,Customer#000000386,DeQxsCxixT8RQ7JV6mddRYGDGQ2WM94,24,34-193-143-1425,232.01,BUILDING  ,"counts. blithely permanent deposits wake slyly! unusual, even theodolites u"
387,Customer#000000387,Yj 9g1mNu00rKRkc1ovOmptsPI,18,28-694-363-3673,3404.23,HOUSEHOLD ,oach. blithely regular instructions sublate across the quickly regular ideas. qui
388,Customer#000000388,dV4lqEufXkF8R,7,17-856-814-6352,1938.05,HOUSEHOLD , carefully bold deposits: final pinto beans sleep slyly idl
389,Customer#000000389,"ij8KNM0,HRvIvnvY w8jQK4zvr1EOO9YM",9,19-264-943-1253,-307.61,AUTOMOBILE,o beans affix fluffily. slyly ironic notornis wake 
390,Customer#000000390,"Nsc3VZZnVsw0mLAnqqzVz,",4,14-812-253-6693,8862.18,HOUSEHOLD , final packages promise quickly. pending theodolites haggle quickly above the doggedly ironic
391,Customer#000000391,q10SV05KB1038lzUR8P,11,21-604-451-4462,4801.30,HOUSEHOLD ,le blithely final forges. furiously even deposits cajole fluffily even patterns. furious
392,Customer#000000392,H7M6JObndO,17,27-601-793-2507,8492.33,BUILDING  ,efully bold ideas. bold requests sleep carefully blithe instructions. carefully final accounts are blithely quickly 
393,Customer#000000393,RSELskV44I3LFA9VLGY2Qe,20,30-749-949-5915,3593.57,FURNITURE ,ake furiously express notornis. pending accounts hang slyly slyly blithe theod
394,Customer#000000394,"nxW1jt,MQvImdr z72gAt1bslnfEipCh,bKZN",23,33-422-600-6936,5200.96,MACHINERY , instructions. carefully special ideas after the fluffily unusual r
395,Customer#000000395,b06rg6Cl5W,15,25-804-388-6600,4582.28,HOUSEHOLD ,s mold blithely regular platelets. slyly silent instructions use slowly slyly specia
396,Customer#000000396,miE7JrCdGpQkF4zYJ27tBdSu IYhQ HXx0 ,22,32-902-936-4845,1433.50,BUILDING  ,xcuses. regular pains wake slyly across the ruthlessly ironic dependencies. e
397,Customer#000000397,EzR2BKJ85SmBDS,7,17-103-357-8777,709.46,FURNITURE ,"al theodolites. regular accounts are regular, silent foxes. unusual asymptotes above t"
398,Customer#000000398,cq9NmtIT4b6JB8L79iLzljlHs4 3,15,25-110-215-3747,8865.61,HOUSEHOLD ,l deposits breach slyly ironic asymptotes. carefully pend
399,Customer#000000399,ZBvzMa6N1wdCGaPmG13xVusIxdjSiA94jTXN,8,18-882-664-5454,7358.53,BUILDING  ,yly even excuses. ironic theodolites wake furiously. blithely regular pinto beans cajole. fin
400,Customer#000000400,U23zy17EPxqmJn7neVc,14,24-522-746-1247,-98.46,BUILDING  ,fully bold accounts cajole bravel
401,Customer#000000401,"aKALIG526OK4veQfUh2KmKcE,oRyg",19,29-667-766-5291,4146.43,BUILDING  ,l instructions wake. slyly express deposits us
402,Customer#000000402,"8Cw4p1m1gKYVUgomkAq,es1ZtrnmHaO",6,16-950-729-1638,2106.67,AUTOMOBILE,dolites. furiously regular theodolites integrate furiously. bravely bold requests are. furiously
403,Customer#000000403,"9,BVYegfkFLsEMDkeVW",14,24-753-433-1769,6693.36,HOUSEHOLD ,al hockey players; ironic dependencies after t
404,Customer#000000404,2orgvLJ05jOvM292mhkS7iJmHG0jk,22,32-840-785-1776,7408.73,BUILDING  ,uickly brave requests haggle furiously carefully special idea
405,Customer#000000405,mCQNH1rJtqjjQ9Piauc2bZr4pRFydscZtbD9d,10,20-509-301-7901,7519.14,MACHINERY ,"nts. pending, express foxes sleep? ironic, pending instructions haggle. ironic, pending theodolites detect slyly. bl"
406,Customer#000000406,j1fOG9WsIr2JI6Yi9jgJ M,9,19-426-693-4043,4286.94,FURNITURE ,nal foxes. unusual pinto beans wake. special excuses cajole ironic 
407,Customer#000000407,cfCP9bE3HnI,1,11-975-454-8499,9537.08,MACHINERY ,ect among the carefully regular theodolites. regular dep
408,Customer#000000408,"TBjb3m,3aea4JtP833HD4VDk7STz2Y9FB",10,20-177-807-5661,6825.37,BUILDING  ,unts. furiously ironic depths among the instructions wake carefully along the blithely ironi
409,Customer#000000409,mtrMiDvQxNsy1Cj0cU4ITEW5wGKLPQ2IPHNE9r4,11,21-466-412-4731,3969.86,FURNITURE ,"fily pending courts. express, regular packages are furiously along the quickly regular packages."
410,Customer#000000410,"nYak2u Q9,gYUiLfh1N",7,17-576-345-5940,4349.27,BUILDING  ," sublate across the pending, express asymptotes. quickly "
411,Customer#000000411,"V3e,FX5x50scsQDzt5,ESxfOQBt4OzjHRoTZxF",18,28-483-924-1955,1209.32,HOUSEHOLD ,refully. slyly even packages above the evenly regular asymptotes are blithely ironic dependencies. deposi
412,Customer#000000412,"5IN2Y,QrhDJ2YBVGKiDbMpzi2hk1fmozIy2zQ",22,32-940-318-3191,6044.02,BUILDING  ,ithely silent notornis haggle. regular requests haggle according to the ironic deposits. blithely final dep
413,Customer#000000413,",4Jm5N0ruhJCB7cBR6Kw",6,16-158-285-7336,5817.90,FURNITURE ,ular packages integrate furiously fluffily final accounts. carefully regular 
414,Customer#000000414,i49DWI61AFb 45vb1RMH,19,29-552-380-2475,527.78,AUTOMOBILE,"sily silent, even accounts. careful, final ideas boost fluffily. slyly final pinto be"
415,Customer#000000415,"334jCRiUb,gx3",23,33-346-876-2972,2317.93,FURNITURE ,egular deposits. blithely ironic inst
416,Customer#000000416,fm7H7k6sYhKfXttOT,12,22-651-146-4780,4365.28,MACHINERY ,p the pending pinto beans. furiously express reques
417,Customer#000000417,X3LMSpIn4FgjgJxldHVUlUvKzyX,11,21-794-364-5100,6187.73,BUILDING  ,lent multipliers. quickly express theodolites kindle blithely. ironic re
418,Customer#000000418,",e0q82drO rgVHXHrJRQ0GDrRoUOl",5,15-826-508-1218,1211.39,FURNITURE ,d foxes against the furiously special packages snooze blithely quickly 
419,Customer#000000419,gvbZNJ4UVBAo5yOZ2UOWcvV9TeTj,16,26-338-447-2399,7786.69,BUILDING  ,ideas affix alongside of the final accounts. quickly ironic deposits abo
420,Customer#000000420,HV0YB82MWw93 9K,20,30-776-366-5869,1999.35,BUILDING  ,"ideas wake. fluffily ironic packages hang furiously above the regular, even platelets; packages haggle slyly "
421,Customer#000000421,it3mUlkZAe9J8gmy,13,23-918-228-2560,7073.17,FURNITURE ,lithely final deposits haggle furiously above the
422,Customer#000000422,AyNzZBvmIDo42JtjP9xzaK3pnvkh Qc0o08ssnvq,9,19-299-247-2444,-272.14,HOUSEHOLD ,eposits; furiously ironic packages accordi
423,Customer#000000423,Y2B EbOg39GpFLS0n,13,23-201-501-7824,95.79,BUILDING  ,"ts cajole after the silent, pending instructions. ironic, even asymptotes use carefully. furi"
424,Customer#000000424,"i4cf3kmRE9IJr,cu,1",19,29-891-311-6778,1866.42,HOUSEHOLD ,"bove the express, final deposits wake furiously furiou"
425,Customer#000000425,lp3aCRBK11qFY,16,26-756-407-4828,5824.88,HOUSEHOLD ,"ajole even, pending accounts. carefully brave accounts"
426,Customer#000000426,GjFjM4zjbyhNrV6XlE,19,29-768-330-6311,7818.25,HOUSEHOLD ,ar instructions are against the ironic platelets. slyly final acc
427,Customer#000000427,LHzXa71U2AGqfbqj1yYYqw2MEXq99dWmY,2,12-124-309-3821,4376.80,MACHINERY ,y even multipliers according to the regu
428,Customer#000000428,"TCVjlzbX7x,kWcHN33LRdEjO38mAGmPR",21,31-587-557-8211,1952.36,BUILDING  ,furiously quick accounts. slyly bold dependencies cajole carefully. quickly even requests int
429,Customer#000000429,"kZBtY,LQAFu4iaSagjfIk8Q8dzgmT",15,25-989-936-1954,9247.21,FURNITURE ,ly regular requests haggle enticing excuses. carefully ironic requests on th
430,Customer#000000430,"s2yfPEGGOqHfgkVSs5Rs6 qh,SuVmR",3,13-406-611-4228,7905.17,BUILDING  ,ly slyly ironic attainments. slyly special instructions until the deposits nag quickly whithout the bo
431,Customer#000000431,RNfSXbUJkgUlBBPn,6,16-326-904-6643,2273.50,HOUSEHOLD ,"e quickly. final, even excuses against the even accounts sleep agai"
432,Customer#000000432,FDConiq g20GI9dH QTM ZNX4OB9KU,23,33-307-912-9016,5715.64,BUILDING  ,"wake carefully close, special deposits. regu"
433,Customer#000000433,7XFuE4 euQR0w,20,30-659-445-3595,8746.23,FURNITURE ,sual ideas affix carefully always regular accou
434,Customer#000000434,6LGAf2hv4MB5MJhfvNsg,3,13-325-443-1474,2940.46,MACHINERY ,lly final Tiresias. blithely regular ideas nag stealthily about the furiously 
435,Customer#000000435,diwjNQSb3wLYLy WfCDATo5rc1I3 s,2,12-741-309-6377,6217.46,MACHINERY ,quickly excuses. blithely express theodolites poach slyly along the theodolites. slyly reg
436,Customer#000000436,4DCNzAT842cVYTcaUS94kR0QXHSRM5oco0D6Z,19,29-927-687-6390,5896.87,FURNITURE ,olites engage carefully. slyly ironic asymptotes about the ironi
437,Customer#000000437,0PM1xuHd0q2ElcJp 77F2MykOVBSQnZR8u3jkn,4,14-364-492-8498,7760.52,AUTOMOBILE, foxes sleep across the slyly unusual pack
438,Customer#000000438,"eqo9A9oaE2CA7 7,L",23,33-394-388-4375,2131.13,MACHINERY ,al deposits mold alongside of the fluffily brave requests. 
439,Customer#000000439,3deBblz2syRv8yMf0yAVKkE4mDH20uDRj4tJVHUm,14,24-873-368-6801,-61.29,BUILDING  ,ions may impress thinly for the deposits? even packages towa
440,Customer#000000440,"w4fKMgiBuGmV,nLn7NgJl1DoUWwNQMV8z  5,R",3,13-244-480-5751,1809.04,MACHINERY , even theodolites: fluffily final requests cajole about the quickly regular
441,Customer#000000441,gjYpcBx6MP8GvDa6,23,33-438-355-3491,9451.84,HOUSEHOLD ,r requests wake theodolites. quickly final ideas haggle fluffily. blithely f
442,Customer#000000442,rvgayfJFLO2cjzMA,1,11-240-523-8711,4157.00,FURNITURE ,"lets would affix fluffily. regular, regular ideas ought to haggle carefully blit"
443,Customer#000000443,UdyNGZ6GSz5aNpMO5N2,3,13-241-131-1632,3726.22,FURNITURE ,"t the special, final platelets. bold req"
444,Customer#000000444,D8l4G8i9aZ7KRbqp6ajvR8h1wjr,1,11-402-300-1949,1505.27,HOUSEHOLD , express accounts along the pending deposits lose carefully above the furiously regular requests. pen
445,Customer#000000445,MX1UA0KUJzIGyWM p2hbLg5dCpVLws8KNcwEsP,20,30-849-846-6070,8018.81,FURNITURE ,"e ironic, special accounts. quickly regular packages integrate fluffily slyly"
446,Customer#000000446,"mJOJwYfch izLCuw70,qhlJSmH",24,34-321-168-5681,9225.60,FURNITURE ,ending instructions. boldly ironic foxes across the regularly ironic pains sleep along the carefully final deposits.
447,Customer#000000447,hVZBzP8Pii,3,13-438-344-7007,7665.98,HOUSEHOLD ,telets around the furiously unusual foxes detect carefully against the 
448,Customer#000000448,BH4vtnDpabk0NgoGNJWu4OUXnidfJ,24,34-985-422-6009,8117.27,BUILDING  ,"unts. final pinto beans boost carefully. furiously even foxes according to the express, regular pa"
449,Customer#000000449,DiUXazp8EYcJFsX2a7nciEpo9W5BRB4iqdb9HWL,4,14-893-381-6454,3001.94,MACHINERY ,"posits boost slyly carefully regular requests. final, bold fo"
450,Customer#000000450,KVpuYa4dDW8lZZVBttyK614C2qdS,9,19-782-397-9006,5544.42,HOUSEHOLD ,gular decoys nod slyly express requests. slyly bold theodolites are along the regular
451,Customer#000000451,"ZJKTC1Ck,B01fYZ xdN2",20,30-939-275-3248,2110.59,HOUSEHOLD ,"quests grow furiously final deposits. ironic, even pi"
452,Customer#000000452,",TI7FdTc gCXUMi09qD",6,16-335-974-9174,6633.70,BUILDING  ,aggle quickly. unusual instructions i
453,Customer#000000453,"PZ4mmWL7R,El0MtLWMfLXp120lo0,itmO",8,18-209-381-8571,5678.18,HOUSEHOLD ,"sts. slyly even dolphins across the bold, regular foxes haggle blithely"
454,Customer#000000454,d9oQCm3onNsFlIoteVjFcQDv,7,17-818-915-9400,6134.40,AUTOMOBILE,"ions print slyly platelets. carefully regular packages according to the fluffy, even foxes wake carefu"
455,Customer#000000455,"sssuscPJ,ZYQ8viO",6,16-863-225-9454,6860.34,BUILDING  ,"l wake. blithely final instructions integrate furiously above the final, regular req"
456,Customer#000000456,IgUSuulguDJ5,0,10-784-971-7777,8815.78,FURNITURE ,ly even warhorses. quickly even requests wake slyly. 
457,Customer#000000457,eaAWe Vqr0x17Uwj1uzQRb wQpXxZVDWS3Wg,20,30-543-684-2857,5867.61,FURNITURE ,the foxes. carefully pending instructions integrate fluffily blithely pending packages. careful
458,Customer#000000458,iIKwI3HrgNlD9,4,14-651-706-4016,-38.42,BUILDING  ,"ng. final, express requests are furious"
459,Customer#000000459,CkGH34iK 9vAHXeY7 wAQIzJa1cmA8DAEA7m,6,16-927-662-8584,1207.97,MACHINERY ,"ronic, regular dependencies use above the ironic deposits. carefully express packages use car"
460,Customer#000000460,"Gbx5Hnw,ctlI7",11,21-643-955-6555,5222.83,FURNITURE ,"old dependencies mold slyly above the foxes. dogged, express ins"
461,Customer#000000461,5vxNLzSASzkbrUr8CRf5,21,31-533-226-4307,9177.63,AUTOMOBILE,sits breach blithely. slyly regular ideas haggle fluffily; special ideas cajole q
462,Customer#000000462,MSqsCvNEkowp7FnscRXP6OUWm,21,31-157-561-4106,4522.60,HOUSEHOLD ,ly special accounts? ideas engage regular dependencies. fluffily even pinto beans x-ray blith
463,Customer#000000463,"LV7MN7Tkm2NSo4Q3lwvjxGQyRJjRZRf,M",8,18-167-214-5805,-654.50,HOUSEHOLD , quickly along the final ideas. slyly regular accounts are iro
464,Customer#000000464,"kAALP9gEt3,G9XtxCXjv38HjKBEP",9,19-269-971-9738,8730.85,AUTOMOBILE,efully express accounts play. special requests use carefully. regular courts sle
465,Customer#000000465,gngnTNn7azjgQlQJnakTZto,2,12-137-838-1346,8432.74,FURNITURE ,es. quick asymptotes integrate carefully alongside of the ideas. even requests believe slyly even ac
466,Customer#000000466,"ZI1c8,ZanegEu5CEQxNf5,bkuYPwn7H7JIK7",12,22-280-738-3240,3168.41,MACHINERY ,"foxes. express, ironic accounts boost? carefully silent deposits engage. accou"
467,Customer#000000467,amwRkh0nDQ6r6MU,11,21-449-581-5158,9398.51,MACHINERY ,manently special warthogs. final ideas a
468,Customer#000000468,IcbihAtOVWcnswfyE,10,20-489-960-5023,9834.19,FURNITURE ," accounts cajole quickly above the blithely final packages. even, express package"
469,Customer#000000469,JWOULMa5Qtt,12,22-406-988-6460,6343.64,BUILDING  ,cajole carefully slyly regular packages.
470,Customer#000000470,v9 gWSuP4WrOjNJRgyJtjbNCChQME,20,30-507-458-4433,3597.53,HOUSEHOLD ,ilent excuses. never ironic requests sleep furiously. daringly f
471,Customer#000000471,tGr0DtrK 91IgzfeZrSPpPIia3,4,14-574-118-1005,5716.90,FURNITURE ,es. unusual accounts try to solve ca
472,Customer#000000472,hWgfnsmTAEOx9Mqp87YwztGrgLLqNkjMPh4,12,22-940-478-1933,7929.90,MACHINERY ,deas sleep slyly blithely final foxes. slyly final e
473,Customer#000000473,zO3W9pYj PvlsQGe,9,19-209-647-5704,-202.22,HOUSEHOLD ,ter the quickly pending requests sleep above the carefully iron
474,Customer#000000474,"mvEKw,6zT0V8Yb2yTG hu990UX",21,31-247-536-6143,9165.47,MACHINERY ,ns integrate against the quickly special courts. slyly
475,Customer#000000475,JJMbj6myLUzMlbUmg63hNtFv4pWL8nq,14,24-485-422-9361,9043.55,BUILDING  ,egular requests. ironic requests detect furiously; deposits ha
476,Customer#000000476,68r87HCBbQkVYaVfes8mgKs,2,12-996-628-9902,5973.10,BUILDING  ,"sly. carefully quick instructions sleep carefully deposits. final, pending pinto beans use closely fluffily final in"
477,Customer#000000477,5aW5WHphNgFdIS1Qdp2cIJXG8ER8,23,33-845-877-6997,1836.61,AUTOMOBILE,totes are blithely among the furiously final foxes. slyly 
478,Customer#000000478,"clyq458DIkXXt4qLyHlbe,n JueoniF",1,11-655-291-2694,-210.40,BUILDING  ,o the foxes. ironic requests sleep. c
479,Customer#000000479,RdIiG8NbwYtamReRwhR,18,28-336-406-1631,3653.64,AUTOMOBILE,ages. bravely even foxes detect careful
480,Customer#000000480,XyQSPswCeO WPD37K3 mYZ4hnCMJO5p,7,17-231-147-5851,2750.71,FURNITURE ,posits. slyly ironic theodolites nag carefully about the quickly final accounts. s
481,Customer#000000481,"o4xa7J20NqHM8E0ykH,NKe1gPz04OqIn",21,31-363-392-6461,7157.21,FURNITURE ,"s can nag slyly instructions. regular, regular asymptotes haggle sly"
482,Customer#000000482,389RgNCsmVUKiRskmrQQm90xx JiIxOM0,13,23-732-448-1610,4333.37,HOUSEHOLD ,carefully bold instructions. carefully final instructions wake carefully accounts. accounts cajole slyly ironic acc
483,Customer#000000483,Yv1QV 1JsV 9sVbNufRvdnprt0grx52,11,21-799-189-1135,8877.20,MACHINERY ,pecial ideas. furiously final i
484,Customer#000000484,ismzlUzrqRMRGWmCEUUjkBsi,20,30-777-953-8902,4245.00,BUILDING  ,"y against the express, even packages. blithely pending pearls haggle furiously above the fur"
